HouseID,City/Province,Location,Latitude,Longitude,Project,Property Type,Storeys,Bedrooms,Bathrooms,Floor Area,Land Area,Price,Description
457,San Juan,"Calubcub Ii, San Juan",13.7367475,121.420371,,Other,0,3,3,337.0,312.0,30000000.0,"Brand New 3 br Full furnished Beachhouse in San Juan, Laiya Batangas"
458,Tarlac,"Camella Tarlac Access Rd. Maliwalo, Tarlac",15.4777848,120.6140745,Camella Tarlac,House and Lot,2,4,3,85.0,121.0,8229000.0,RFO 4BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Dana w/ CB 121sqm
459,Las Pinas,"Pamplona Tres, Las Pinas",14.4498228,120.9782887,,Other,0,4,4,160.0,91.5,,"Brand New Duplex House For Sale in Las Piñas. 4 Bedroom, Furnished"
460,Tanauan,"Cale, Tanauan",14.1177207,121.0940992,Sandia Homes,Other,0,1,1,27.2,60.0,1496900.0,"Sandia Homes | Bernice SA 1BR House for Sale in Tanauan, Batangas | Futura by Filinvest"
461,Lipa,"Bugtong Na Pulo, Lipa",13.9984308,121.1674592,"The Villages at Lipa - Sierra Village, SA150",House and Lot,0,5,3,150.0,150.0,9841000.0,"5BR Single Attached House and Lot for Sale in Lipa, Batangas | The Villages at Lipa - Sierra Village, SA150"
462,Santa Maria,"Santa Maria-San Jose Rd. Bulac, Santa Maria",14.8279751,121.0003891,"Marytown Place in Santa Maria, Bulacan",Other,2,1,1,44.0,40.0,1675000.0,"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B1 L23 (ROSE-INNER)"
463,Antipolo,"Cupang, Antipolo",14.6360063,121.1240475,,Other,0,4,3,246.0,121.0,17890000.0,Modern Industrial House for sale in Antipolo boundary of Marikina
464,Quezon City,"Santa Monica, Quezon City",14.7252015,121.043347,"Palmera Homes, Quezon City - Resort Style",Townhouse,0,3,3,176.0,79.0,18287829.0,"Townhouse For Sale in The Alcove at Palmera Homes, Quezon City - Resort Style"
465,Santa Maria,"Caysio Rd. Caysio, Santa Maria",14.8482305,120.969695,Orchard Residences,House and Lot,0,3,2,75.3,80.0,5183808.0,"3BR Single Attached-Complete House and Lot for Sale in Santa Maria, Bulacan | North Orchard Residences"
466,Subic,"Aningway Sacatihan, Subic",14.9131781,120.2282421,Camella Subic,House and Lot,2,3,2,66.0,118.0,6249000.0,"3BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Cara w/ CB 118sqm"
