HouseID,Description,City/Province,Location,Price,Bedrooms,Bathrooms,Floor Area,Land Area,Latitude,Longitude,Property Type,Storeys,Project
11,"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Akan Model",Mexico,"Km.71, North Luzon Expressway Panipuan, Mexico",3500000.0,3,2,102.4,154.0,15.0941848,120.6701583,Other,0,The Lakeshore
12,"3BR 2-Storey Townhouse for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model",Davao,"Tugbok, Davao",5300000.0,3,2,70.3,67.0,7.1035383,125.4948467,Townhouse,2,PHINMA Maayo Tugbok
13,"2 bedroom Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave",San Rafael,"Caingin, San Rafael",1800000.0,2,1,46.0,41.0,14.9717467,120.9434431,Townhouse,0,Primeworld Enclave
14,"4BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dana 99sqm",Cabanatuan,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7337000.0,4,3,85.0,99.0,15.4710779,120.9821312,House and Lot,2,Camella Nueva Ecija
15,Luxury 2 Storey Residential House  Sun Valley Parañaque City,Paranaque,"Sun Valley, Paranaque",45001005.0,6,5,337.0,350.0,14.4888415,121.0325173,Residential House,0,Sun Valley Parañaque City
16,3-Bedroom House and Lot for Sale in Pavia Iloilo at Parc Regency Residences | STEPHANIE Model,Pavia,"Ungka Ii, Pavia",4080345.0,3,2,52.0,80.0,10.7529006,122.5376029,House and Lot,0,Regency Residences
17,"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 176sqm",Subic,"Aningway Sacatihan, Subic",10082000.0,5,3,142.0,176.0,14.9131781,120.2282421,House and Lot,2,Camella Subic
18,"2BR 2-Storey Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave",San Rafael,"Caingin, San Rafael",1800000.0,2,1,46.0,41.0,14.9717467,120.9434431,Townhouse,2,Primeworld Enclave
19,"4BR Single Detached House and Lot for Sale in Lipa, Batangas | The Villages at Lipa - Sierra Village, SD119",Lipa,"Bugtong Na Pulo, Lipa",7500000.0,4,3,119.0,150.0,13.9984308,121.1674592,Single Detached,1,"The Villages at Lipa - Sierra Village, SD119"
20,"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ALICE Model",General Trias,"Pasong Camachile I, General Trias",2292960.0,3,1,40.0,40.0,14.3723207,120.8976745,Townhouse,0,Lancaster New City
21,For Sale 2BR 2-Storey House and Lot in Tarlac City at Camella Tarlac | Bella 88sqm,Tarlac,"Camella Tarlac Access Rd. Maliwalo, Tarlac",5251000.0,2,2,53.0,88.0,15.4777848,120.6140745,House and Lot,2,Camella Tarlac
22,"3-Bedroom Townhouse for Sale in Tanza, Cavite at Micara Estates | PORTIA Typical End Unit w/ Fence",Tanza,"Antero Soriano Highway Sahud Ulan, Tanza",2258057.0,3,1,45.0,62.0,14.366749,120.8184475,Townhouse,0,Micara Estates
23,5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Greta w/ CB 176sqm,Tarlac,"Camella Tarlac Access Rd. Maliwalo, Tarlac",11757000.0,5,3,166.0,176.0,15.4777848,120.6140745,House and Lot,2,Camella Tarlac
24,"2-Bedroom 2-Storey Townhouse for Sale in Mabalacat, Pampanga at Talanai Homes | MAHOGANY",Mabalacat,"Sapang Biabas, Mabalacat",1400000.0,2,1,40.0,40.0,15.1987752,120.6026101,Townhouse,2,Talanai Homes
25,"Townhouse with 3 Bedrooms for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model",Davao,"Tugbok, Davao",5300000.0,3,2,70.3,67.0,7.1035383,125.4948467,Townhouse,0,PHINMA Maayo Tugbok
26,Likha Residences | Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Muntinlupa | Typical Unit,Muntinlupa,"Cupang, Muntinlupa",32342000.0,3,3,247.4,93.0,14.4378843,121.0503212,Townhouse,3,Likha Residences
